Timestamp,Your Gender,Comments you have heard/seen/used in social media:
9/3/2020 14:43:21,Female,Marakha'
9/3/2020 14:45:09,Male,"পিপ পিপ পিপ পিপ দেখি মাম্মা একটু সাইট দাও,আমার বন্ধুকে একটু লাইক ও কমেন্ট করে যাই। ┣┫мм'χ ┣┫мм'χ .. . ℳaℳa...... . •.¸Ñýç Pø$t... নামটা চিনে রাখো || লাইক + কমেন্ট দুটোই করলাম || আশা করি তুমিও লাইক কমেন্ট ব্যাক দিবা || ♬♬♬ NIcE,,,, Awesome,,,, Excellent,,,, SWEET,,,, Beautiful,, STYLISH ♬♬♬ সময় পেলে আমার profile থেকে ঘুরে আসার দাওয়াত রইল!!!! ✔✔✔এক্টিভ লাইকার মামুরা এড দাও....বাকিরা ১০০০০০ হাত দূরে থাকো.."
9/3/2020 14:45:55,Male,ওরে শাউয়ো
9/3/2020 14:46:55,,চড বাই মাতা টান্ডা কর।তানাই কেচ কর
9/3/2020 14:55:04,Male,Binod
9/3/2020 14:55:20,Male,Tor baap ataf 
9/3/2020 14:55:43,Male,"পিপ পিপ মাম্মা, সাইড দাও, একটু লাইক দিয়ে আসি"
9/3/2020 14:55:56,Male,kera mama ke kovor
9/3/2020 14:56:39,Male,Kere mama ke kovor
9/3/2020 14:57:26,Male,"Chotobela theke shune ashchi, oh tumi English medium er porso,accha shunsi tomra naki onek fast,onek spoiled!  Oh accha, tomra to public e chance paona! Oh accha tomade general knowledge khuuuub kharap! Stop here pls! Jei Biology apnara class 9 e poren sheta amra 6-7 e pore feli,then advance k? Anyway kono torke jorabo na. I have seen extreme HOE kind of girls from Bangla medium. Jarai bolteso j ""subtle elish"" e shudhu English medium rich brats ra ache"" ami eshob group er BHODRO version deksi jegula holo so called ""COMBINED"" groups. Jara khuuuub bhalo,but obviously they're dating groups and full of Bangla medium people 🐸  Amra sharajibon nijeder bepare criticism shune ashchi ar apnara ekta status niye whole English medium community k kotha shunacchen,lol  Ek meye Bangla medium niye kharap bolse shuru hoye gesen pura English medium students der pochano. Tahole ami boli Bangla medium er meyera first e bolbe amito kono cheler sathe mishiona, versityr dui semester jawar por tar ashol roop dekha jay. Shunen kada churle kadar chitefota nijer gaye esheo lage.  So if u want to get respect, you need to give respect to the other! Respect our institutions, we'll respect yours! Ami jekhane jiboner 12 bochor porsi shei institution niye baje kotha ami shojjhho korbona 🙂 kharap bhalo shob medium ei thake GET THAT STRAIGHT IN YOUR HEADS!"
9/3/2020 14:57:44,Prefer not to say,আপ্পি আপনি এত্তো  কিউট কেন🤗🤗
9/3/2020 14:58:11,Male,ফিগার দেখাও
9/3/2020 14:58:26,Male,ওরম মনে হয়
9/3/2020 14:58:35,Female,"kop, nice mama, cute lagsa, "
9/3/2020 15:00:02,Male,xoxo
9/3/2020 15:00:11,Male,binod
9/3/2020 15:00:20,Male,BINOD
9/3/2020 15:02:45,Male,১০০০ কমেন্ট করলেই বন্ধু বান্ধব কে অমুক পোজে দেখার একটা সুযোগ পেলেই আমরা ঝাপায়ে কমেন্ট করি। কিন্তু এসব ক্ষেত্রে দেখা যায় কমেন্ট গুলা একঘেয়ে A B C D  কিংবা স্টিকার হয়।  What if we could comment from a dataset of cringe/funny comments :3
9/3/2020 15:17:33,,পায়ের মাঝ থেকে দন সরে গেল 
9/3/2020 15:18:08,Male,"Roses are red, violets are blue. watch out over there, bokachoda is looking at u!"
9/3/2020 15:24:09,Male,mal ti talented
9/3/2020 15:25:49,Male,সহমত ভাই
9/3/2020 15:26:32,Male,এই মাইয়া তোর হিগাব কই?
9/3/2020 15:36:08,Prefer not to say,1. Who the hell are you to insult bts ?  BTS k insult korar jonno na basic quality lage jeta tmr toh at least nai ...  nijer life e kii baal ta kore felso aktu bolo toh bhai ...  onno er telent dekhle kii jole naki tmr? Tmr moto manush re shojho hoy na amr ...  valo hoye jao ... onno re choto kore boro hoite parba na ...  tmr baal marka kothay oder kichu e jay ashe na ... they are beyond your reach..  Allah tmr mathay kii diyeche allah e jane ... BTS k insult kore kii dekhaite chao ...  kotha theke j ashe ashol manush ... ar amar chokh a e kno pore ashol baal marka post ...  I think tumi nije akta public toilet... mejas amn kharap hocche j word o pacchi na tmk bolar ...  ami maybe amar life e kao k amn kharap kono text dei nai ...  akta e request onno k insult kora chere nije kichu koro. ... aii baal marka image ta bhai change koro.
9/3/2020 15:58:25,Male,NC
9/3/2020 16:08:17,Male,koyda lage tor 
9/3/2020 16:12:20,Male,"তুই খাড়া, আমি ফেমিনিস্ট নিয়ে আসতেছি"
9/3/2020 16:13:05,Male,"you live in সুখ, let fire burn in my বুক"
9/3/2020 16:46:22,Male,Hishab bujho nah? Dudh Khao?
9/3/2020 16:59:28,Male,লাইনে দাড়ান।ধাক্কাধাক্কি করবেন না।।সবাই গালি দেয়ার সুযোগ পাবেন।
9/3/2020 16:59:34,Male,"tui amar jibone na ashle amr j ki hoto :,("
9/3/2020 15:36:08,Prefer not to say,2.  bujhlam na vaiya sl chaile ki oporadh korlam ami Ei mama apner meme ki etoi high level er je amar share korar jogotta nai Ei madarchod tui nije ki mone koros tor meme toh emneo keu share dicche na khankirpola  
